Date,Location,Latitude,Longitude,Altitude,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
1/4/1981,laxmanpur,27.9,81.9,189,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Bejapur,28.0,81.9,189,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Khakhusm,28.0,82.08,237,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Fattepur,28.02,81.77,182,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Chakiya,28.05,81.45,167,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Nepalgunj,28.05,81.6,188,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Goltakuri,28.05,82.15,856,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,jamuni,28.08,81.5,163,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Banke,28.1,81.82,201,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Pauda,28.12,81.43,164,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Udarapur,28.12,81.52,182,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Kanchanpur,28.12,81.92,456,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Laukahi,28.15,81.38,164,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Baijnath Purwa,28.15,81.67,188,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Sorhawa,28.2,81.52,164,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Gulariya,28.22,81.32,189,16.54,12.12,14.87,13.11,23.79,10.68,6.59,57.12,0.38,99.54,2.26,4.09,0.74,3.34,3.22,5.05,0.91,4.14
1/4/1981,Sarpanegarpa,28.22,82.38,1533,13.04,8.69,11.55,10.91,19.88,8.98,5.68,57.81,0.16,92.45,2.48,4.46,0.53,3.92,3.33,5.18,0.8,4.39
1/4/1981,Naubasta,28.23,81.67,188,16.03,11.34,14.3,11.23,22.83,11.6,6.29,55.19,0.63,97.64,2.45,4.42,0.81,3.6,3.42,5.38,1.2,4.17
1/4/1981,Deudakala,28.27,81.45,189,15.38,11.07,13.76,11.99,22.04,10.05,6.41,57.81,0.57,96.73,2.42,4.09,1.29,2.8,3.3,4.82,1.63,3.2
1/4/1981,Kavra,28.27,82.17,1043,10.82,7.37,8.84,9.71,16.62,6.9,5.74,64.0,0.52,88.93,2.18,3.81,0.18,3.64,2.64,3.96,0.33,3.62
1/4/1981,Chhinchu,28.28,81.75,585,10.82,7.37,8.84,9.71,16.62,6.9,5.74,64.0,0.52,88.93,2.18,3.81,0.18,3.64,2.64,3.96,0.33,3.62
1/4/1981,Kalimati Kalche,28.3,81.93,586,10.82,7.37,8.84,9.71,16.62,6.9,5.74,64.0,0.52,88.93,2.18,3.81,0.18,3.64,2.64,3.96,0.33,3.62
1/4/1981,Sinwang,28.3,82.35,1423,5.08,2.39,3.4,10.45,11.51,1.06,4.64,70.69,0.34,80.74,2.1,4.09,0.16,3.92,2.3,3.6,0.38,3.22
1/4/1981,bardiya,28.32,81.42,188,15.38,11.07,13.76,11.99,22.04,10.05,6.41,57.81,0.57,96.73,2.42,4.09,1.29,2.8,3.3,4.82,1.63,3.2
1/4/1981,Bela,28.33,81.27,193,15.38,11.07,13.76,11.99,22.04,10.05,6.41,57.81,0.57,96.73,2.42,4.09,1.29,2.8,3.3,4.82,1.63,3.2
1/4/1981,Kabhrechaur II,28.33,81.78,1100,10.82,7.37,8.84,9.71,16.62,6.9,5.74,64.0,0.52,88.93,2.18,3.81,0.18,3.64,2.64,3.96,0.33,3.62
1/4/1981,Kabhrechaur I,28.35,81.8,1127,10.82,7.37,8.84,9.71,16.62,6.9,5.74,64.0,0.52,88.93,2.18,3.81,0.18,3.64,2.64,3.96,0.33,3.62
1/4/1981,Bardiya NP,28.37,81.55,538,15.38,11.07,13.76,11.99,22.04,10.05,6.41,57.81,0.57,96.73,2.42,4.09,1.29,2.8,3.3,4.82,1.63,3.2
