Locations,Longitude(Initial),Latitude(initial),Altitude(in metre),Longitude degree,Latitude Degree,Longitude minute,latitude minute,Latitude(Final),Longitude(Final)
Badhara,28.42,80.33,199,28,80,42,33,28.7,80.55
Baisi Bichawa,28.41,80.29,214,28,80,41,29,28.68,80.48
Baluwa gadel School,29.48,80.48,331,29,80,48,48,29.8,80.8
Bandevi Temple,28.51,80.34,262,28,80,51,34,28.85,80.57
Barachhen,28.59,80.47,1297,28,80,59,47,28.98,80.78
BelaDevipur,28.45,80.37,223,28,80,45,37,28.75,80.62
Belauri,28.41,80.21,194,28,80,41,21,28.68,80.35
Bhairabstan,28.47,81.26,460,28,81,47,26,28.78,81.43
Bhakunda Ground,28.42,80.24,203,28,80,42,24,28.7,80.4
Bheriganga,28.26,81.44,717,28,81,26,44,28.43,81.73
Bheripur,28.31,81.39,426,28,81,31,39,28.52,81.65
Birendranagar-13,28.36,81.39,799,28,81,36,39,28.6,81.65
Boradadi,28.43,80.33,204,28,80,43,33,28.72,80.55
Bp Nagar,29,80.44,840,29,80,0,44,29,80.73
Budhetola,28.55,80.35,1233,28,80,55,35,28.92,80.58
Chhatiwan,29.04,80.36,1267,29,80,4,36,29.07,80.6
Chhinchu,28.17,81.45,585,28,81,17,45,28.28,81.75
Dhangad Gaun,28.4,81.33,1211,28,81,40,33,28.67,81.55
Dhangadhi,28.41,80.37,200,28,80,41,37,28.68,80.62
Dhangadhi Airport,28.45,80.35,204,28,80,45,35,28.75,80.58
Dhangadhi funcity,28.41,80.33,203,28,80,41,33,28.68,80.55
Dharapani I,28.39,81.34,1434,28,81,39,34,28.65,81.57
Dharapani II,28.38,81.34,1345,28,81,38,34,28.63,81.57
DObala,29,80.31,922,29,80,0,31,29,80.52
Gahara,28.39,81.39,1634,28,81,39,39,28.65,81.65
GaineKanda,28.38,81.2,730,28,81,38,20,28.63,81.33
Gajari Jharna,28.55,80.38,1359,28,80,55,38,28.92,80.63
Godawari Temple,28.52,80.34,322,28,80,52,34,28.87,80.57
Guptipur,28.33,81.35,678,28,81,33,35,28.55,81.58
Gurashe Bazar,28.41,81.37,2131,28,81,41,37,28.68,81.62
Hariharpur,28.35,81.29,682,28,81,35,29,28.58,81.48
Jahelre Bazar,28.26,81.48,481,28,81,26,48,28.43,81.8
Kabhrechaur I,28.21,81.48,1127,28,81,21,48,28.35,81.8
Kalika,28.4,80.26,204,28,80,40,26,28.67,80.43
Karari Park,28.4,80.4,194,28,80,40,40,28.67,80.67
Katkuwa,28.34,81.36,654,28,81,34,36,28.57,81.6
Katunje,28.54,80.51,1205,28,80,54,51,28.9,80.85
Khairala,28.52,80.45,693,28,80,52,45,28.87,80.75
Khandanda,29,80.37,1418,29,80,0,37,29,80.62
Kiratpur,28.38,80.3,194,28,80,38,30,28.63,80.5
Kunathari,28.42,81.29,496,28,81,42,29,28.7,81.48
Lalmali temple,28.49,80.44,525,28,80,49,44,28.82,80.73
Laxmi nagar,29.04,80.4,1161,29,80,4,40,29.07,80.67
Laxmipur,28.38,80.23,194,28,80,38,23,28.63,80.38
Lekhfarsa,28.39,81.35,1356,28,81,39,35,28.65,81.58
Melelkuna,28.25,81.5,541,28,81,25,50,28.42,81.83
Nigali,28.58,80.43,1677,28,80,58,43,28.97,80.72
NRASG,28.25,81.45,598,28,81,25,45,28.42,81.75
Odaaltaal,28.39,81.3,914,28,81,39,30,28.65,81.5
Parasan,28.36,80.29,194,28,80,36,29,28.6,80.48
Pokharikanda,28.45,81.28,1322,28,81,45,28,28.75,81.47
